case_id,singer,label_value,label_name,exercise_family,source_basename,old_f0_p90,old_f0_p95,old_voiced_fraction,yin_f0_median,yin_f0_p75,yin_f0_p90,yin_f0_p95,yin_reliable_fraction,acf_yin_disagreement_gt300c,acf_yin_median_abs_cents,max_score,false_trigger,pitch_bin
reaudit:m11:m11_caro_straight.wav,m11,12,straight,other,m11_caro_straight.wav,285.7142857142857,289.1566265060241,1.0,236.70471133236836,266.4070363309243,284.3278614366839,288.1930412607419,0.9481268011527377,0.02127659574468085,4.132315343417207,0.6011270928865823,0,yin_p90_lt_300
reaudit:m11:m11_caro_vibrato.wav,m11,16,vibrato,other,m11_caro_vibrato.wav,571.4285714285714,705.8823529411765,0.9971181556195965,242.7615955641925,271.3251738205206,291.27281209937746,569.7739563208823,0.7780979827089337,0.03333333333333333,4.402196997810847,0.6849966150830024,0,yin_p90_lt_300
reaudit:m11:m11_long_forte_a.wav,m11,4,forte,other,m11_long_forte_a.wav,514.2857142857142,1000.0,0.9971181556195965,265.6062144654287,347.9532776115168,364.18179108936624,367.1997952407007,0.7809798270893372,0.0,3.676566290247296,0.7843158957164297,1,yin_p90_300_400
reaudit:m11:m11_scales_belt_a.wav,m11,0,belt,scale,m11_scales_belt_a.wav,289.1566265060241,1000.0,1.0,188.19097529948732,239.38869218201515,266.8052662153598,286.08026563340565,0.7091633466135459,0.0,3.105959238086134,0.5961360077210116,0,yin_p90_lt_300
reaudit:m11:m11_scales_breathy_a.wav,m11,1,breathy,scale,m11_scales_breathy_a.wav,296.2962962962963,1000.0,1.0,176.53742666331712,242.543935139989,266.67269024267426,289.75407446094243,0.9029850746268657,0.012396694214876033,3.2375055167460722,0.6606150641890025,0,yin_p90_lt_300
reaudit:m9:m9_caro_vibrato.wav,m9,16,vibrato,other,m9_caro_vibrato.wav,258.06451612903226,263.7362637362637,1.0,216.85537462518664,244.5619523847954,256.8695616381679,262.46191923677935,0.9769452449567724,0.0058997050147492625,3.911591450881462,0.602883914304397,0,yin_p90_lt_300
reaudit:m9:m9_arpeggios_belt_a.wav,m9,0,belt,arpeggio,m9_arpeggios_belt_a.wav,260.8695652173913,923.0769230769231,1.0,163.1012729095183,194.51734612788667,252.7977758671217,258.14264122410776,0.8530259365994236,0.0,3.1405544345162335,0.6421465954313729,0,yin_p90_lt_300
reaudit:m9:m9_arpeggios_breathy_i.wav,m9,1,breathy,arpeggio,m9_arpeggios_breathy_i.wav,510.63829787234044,518.4088806660499,1.0,344.36556995880846,396.6166671643258,509.49243122168,513.5986108056352,0.9567723342939481,0.0,5.910362195887597,0.6752923525610632,0,yin_p90_ge_400
reaudit:m9:m9_arpeggios_c_fast_forte_i.wav,m9,2,fast_forte,arpeggio,m9_arpeggios_c_fast_forte_i.wav,614.5896656534944,1000.0,1.0,277.63985510079783,391.10671778698656,441.4953184919446,493.63257882439365,0.8888888888888888,0.0,6.067417705476875,0.7685213743517828,1,yin_p90_ge_400
reaudit:m9:m9_arpeggios_c_fast_piano_i.wav,m9,3,fast_piano,arpeggio,m9_arpeggios_c_fast_piano_i.wav,1000.0,1000.0,1.0,271.02616427196625,405.0007325266045,448.67872619422405,507.24809765017096,0.7699115044247787,0.0,5.17685308743603,0.6695623720650641,0,yin_p90_ge_400
reaudit:m9:m9_row_spoken.wav,m9,11,spoken,other,m9_row_spoken.wav,721.4854111405836,980.7692307692307,0.9971181556195965,166.11783792267528,182.4774684506398,194.25441115484506,216.0001716469716,0.7953890489913544,0.0,2.94207855098468,0.6529222708121064,0,yin_p90_lt_300
reaudit:m9:m9_caro_straight.wav,m9,12,straight,other,m9_caro_straight.wav,705.8823529411765,879.365079365079,1.0,419.356721130013,560.8388493018978,567.660652063559,966.3402992667262,0.8731988472622478,0.0858085808580858,9.20330965094524,0.6979884069779836,0,yin_p90_ge_400
reaudit:m9:m9_long_forte_a.wav,m9,4,forte,other,m9_long_forte_a.wav,521.7391304347826,533.3333333333334,1.0,347.7839298439907,522.7970479726514,530.6469588004521,1023.7564312944909,0.9884726224783862,0.06705539358600583,6.540843710434633,0.9235480559646717,1,yin_p90_ge_400
reaudit:m9:m9_scales_belt_a.wav,m9,0,belt,scale,m9_scales_belt_a.wav,272.72727272727275,284.70588235294116,1.0,216.9809943897347,256.33802890166476,282.2598514053169,290.0091813671277,0.9855907780979827,0.038011695906432746,3.70768733959677,0.6057386533846963,0,yin_p90_lt_300
reaudit:m9:m9_scales_breathy_a.wav,m9,1,breathy,scale,m9_scales_breathy_a.wav,533.3333333333334,571.4285714285714,1.0,426.01308195199323,524.4953851565294,1013.9871252843054,1036.0074948392007,1.0,0.12103746397694524,9.436984975063858,0.6299872841900703,0,yin_p90_ge_400
